This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
c99d6ff8bf33d032033aa7d97dcfb430ffce74dd48d77bcff71507f509b5c15f 0 0 0 0
b90270230a406c863e633186b5b809a2283bd3df0aecb1b41906f28a0456260c 3 3 1481 105
42eb86927c734db03ac4311123dece5905165acff07bda188da6be7b4a30adfa 208 37 1637 900
9136328a0450647dd8fe30ff2bd8d1e529a562099d88a5d7309e58d7c3cd68ad 26 0 0 0
e8876a19184a8372840de44593b1a758e3cd8350a4fb5ac7bc079567183bcdae 255 69 3999 12107
00ded8663ec7136311f57ef2988eb2c79341d70dd73a702430ec154064dc37af 37 37 5998 3142
e6055a43892beee5ce0e98094d994cb2155b49d658b3824fee43f8212e7c5fef 37 36 18316 3248
3f6c0b576861cb685ac08b77406d0914c2fb473353b7fa72d2165e9fe4c4f975 32 0 0 0
80cc12418491f3b7b2e89d083c18a16ce94066a08316a0ad1db990315523509f 46 0 0 0
5f0ccc8df669988ce3c17b86fbdd8beac08d204dece5fbf58933ffc2a8a64790 25 17 437 0
6a19d08e57da4c899d9b28d4bd2275104cfcb78f82ce4b57f0441e6f48a5144d 0 0 0 0
1ddd67ca871519b324834f3e36fbe175172610435d05b21ec3daf5a22bc68b5f 5 5 175 39
1d3239b1a5983c48c799ef243e159fa91281d1071b1266ad0a122513eaf4a00f 14 14 2593 907
